record_id,date,season,month,leaf_weight_kg,leaf_moisture_percent,withering_time_hours,fermentation_time_hours,drying_temperature_celsius,drying_duration_minutes,ambient_temperature_celsius,humidity_percentage,rainfall_mm,collection_region,powder_weight_kg,yield_percentage
REC-01432,8/1/2023,SW_Monsoon,8,631.8,78.9,19.57,3.56,99.2,23.1,17.8,86.9,8.02,Lower_Division,137.05,21.69
REC-01433,7/31/2023,Quality_Season,7,423.62,79.2,14.98,2.08,94.5,27.1,21.5,78.9,3.01,West_Block,79.43,18.75
REC-01434,7/31/2023,SW_Monsoon,7,403.09,76,13.96,3.8,100.7,25.4,23.7,81.1,11.21,Upper_Division,87.44,21.69
REC-01435,7/30/2023,Quality_Season,7,645.24,79.8,14.69,2.68,101.8,27.6,18.5,74.2,2.97,West_Block,132.61,20.55
REC-01436,7/30/2023,SW_Monsoon,7,456.55,78.1,15.24,2,91,26.9,21.2,85.3,7.31,Middle_Division,99.04,21.69
REC-01437,7/30/2023,Quality_Season,7,557.91,78.9,12.02,2.3,98.5,26.8,17.1,73.1,5.13,West_Block,107.87,19.33
REC-01438,7/30/2023,Quality_Season,7,421.18,79.5,17.77,3.1,104.6,26.1,22.1,72.3,3.48,West_Block,85.89,20.39
REC-01439,7/30/2023,SW_Monsoon,7,692.02,80.7,15.84,2.41,91.6,24.5,22.5,80.8,11.41,Upper_Division,145.08,20.96
REC-01440,7/30/2023,Quality_Season,7,662.65,75.7,15.97,2.74,88.9,26.6,17.3,76.5,4.88,West_Block,133.72,20.18
REC-01441,7/30/2023,Quality_Season,7,433,75.5,17.14,2.78,97.6,23.8,18.4,83.7,5.14,Middle_Division,84.25,19.46
REC-01442,7/30/2023,Quality_Season,7,405.33,79.9,14.27,3.6,92,18.1,17,72.3,3.4,East_Block,75.58,18.65
REC-01443,7/29/2023,Quality_Season,7,468.36,77.2,15.73,3.16,104.4,26.1,16.3,74.6,5.17,Middle_Division,93,19.86
REC-01444,7/29/2023,Quality_Season,7,431.1,83.2,15.09,3.44,98.2,19.6,21.2,84.6,3.43,Lower_Division,84.73,19.65
REC-01445,7/28/2023,SW_Monsoon,7,738,83.4,16.7,2.14,95,21.7,21.2,83,7.43,Lower_Division,157.65,21.36
REC-01446,7/27/2023,SW_Monsoon,7,398.05,75.8,15.96,3.69,96,30,20.6,80.9,10.65,West_Block,86.6,21.76
REC-01447,7/26/2023,Quality_Season,7,469.79,82.7,20,3.51,102.3,23.1,20.4,79.5,4.07,Upper_Division,87.1,18.54
REC-01448,7/26/2023,Quality_Season,7,534,81.1,15.53,3.43,90.8,26.4,19.2,84.1,5.44,Middle_Division,106.7,19.98
REC-01449,7/26/2023,SW_Monsoon,7,340.88,75,17.36,2.59,97.6,29.1,23.7,89.6,9.45,Upper_Division,71.83,21.07
REC-01450,7/25/2023,SW_Monsoon,7,528.43,77.5,15.46,2.38,103.5,23.8,17.5,81,7.56,East_Block,112.97,21.38
REC-01451,7/25/2023,SW_Monsoon,7,490.91,83,16.69,3.99,97.6,28.3,23.5,80.7,9.14,Upper_Division,97.71,19.9
REC-01452,7/25/2023,Quality_Season,7,528.31,73.4,13.96,2.3,101.2,27.6,22.6,80.8,5.28,East_Block,99.52,18.84
REC-01453,7/25/2023,Quality_Season,7,526.64,78.8,18.05,2.83,92.8,26.9,22.8,78.5,3.45,West_Block,103.37,19.63
REC-01454,7/24/2023,Quality_Season,7,715.86,78.2,17.78,3.59,95.5,22.1,21.6,84.4,2.87,West_Block,136.77,19.11
REC-01455,7/24/2023,SW_Monsoon,7,501.51,79.2,17.03,3.33,103.5,21.2,18.5,78.6,7.87,Lower_Division,109.64,21.86
REC-01456,7/24/2023,SW_Monsoon,7,505.32,79.3,18.35,3.27,96,28.5,21.6,83.1,7.81,Upper_Division,106.72,21.12
REC-01457,7/23/2023,SW_Monsoon,7,447.34,80.5,17.77,3.26,101.1,23.5,19,87.5,11.36,Middle_Division,96.3,21.53
REC-01458,7/22/2023,Quality_Season,7,361.2,81.3,16.23,2.78,104.1,23.8,21.8,76.3,4.13,Upper_Division,69.9,19.35
REC-01459,7/22/2023,SW_Monsoon,7,562.05,81.3,16.92,3.62,98.1,25.2,23.5,78.8,7.23,Upper_Division,115.09,20.48
REC-01460,7/22/2023,SW_Monsoon,7,309.65,80.6,15.37,3.6,96.2,22.9,18.9,82,10.88,East_Block,67.73,21.87
REC-01461,7/21/2023,Quality_Season,7,465.03,79.8,14.97,2.75,90.2,26.5,21.7,78.7,5.71,Upper_Division,89.6,19.27
REC-01462,7/21/2023,Quality_Season,7,491.92,80.3,17.21,2.84,98.6,29.5,18.6,74.8,4.46,Lower_Division,95.22,19.36
REC-01463,7/21/2023,Quality_Season,7,634.42,77.3,17.49,3.01,110.4,27.5,17.7,75.7,3.07,Upper_Division,123.02,19.39
REC-01464,7/20/2023,Quality_Season,7,625.97,81.4,14.23,2.66,104.3,23.3,21.3,72.4,4.5,Upper_Division,119.61,19.11
REC-01465,7/20/2023,Quality_Season,7,572.76,80,17.55,2.56,96.7,25.1,18,76.6,3.57,West_Block,118.14,20.63
REC-01466,7/20/2023,SW_Monsoon,7,364.3,80.2,15.28,3.19,95.3,25.1,17,82.5,7.22,Middle_Division,82.02,22.51
REC-01467,7/20/2023,Quality_Season,7,317.64,80.4,13.39,4.04,105.3,23.7,21.8,79.4,3.67,Middle_Division,58.12,18.3
REC-01468,7/19/2023,SW_Monsoon,7,566.73,76.5,17.17,3.33,95.9,24.8,17.8,83,10.86,Middle_Division,124.49,21.97
REC-01469,7/19/2023,Quality_Season,7,563.62,80.4,16.36,2.15,89,25.4,20.9,77.4,3.41,Middle_Division,106.93,18.97
REC-01470,7/18/2023,Quality_Season,7,833.36,72.9,16.04,3.31,94.9,22.3,21.7,79.7,4.49,West_Block,171.45,20.57
REC-01471,7/18/2023,SW_Monsoon,7,450.2,80.5,12.36,3.17,103.4,20.4,22.8,80,6.93,Upper_Division,90.49,20.1
REC-01472,7/17/2023,Quality_Season,7,663.9,78.1,14.18,3.34,92.6,27.5,22,84.6,4.83,West_Block,129,19.43
REC-01473,7/17/2023,SW_Monsoon,7,283.92,75.3,17.28,3.55,85,24,17.4,89.8,7.26,East_Block,58.03,20.44
REC-01474,7/16/2023,Quality_Season,7,512.35,76.1,14.52,2.9,96.7,24.7,21.6,79.6,4.69,East_Block,102.98,20.1
REC-01475,7/16/2023,Quality_Season,7,700.26,80.1,15.91,2.44,91.6,27.4,17.6,84.6,2.95,Middle_Division,137.78,19.68
REC-01476,7/16/2023,Quality_Season,7,538.06,72.8,16.72,3.04,96.3,23.4,19.4,72.8,4.29,West_Block,112.15,20.84
REC-01477,7/15/2023,SW_Monsoon,7,418.28,74.9,16.76,2.67,94.1,26.5,24,85.8,9.7,Lower_Division,93.43,22.34
REC-01478,7/15/2023,Quality_Season,7,549.58,76.5,16.76,3.49,94.2,26.1,21.7,73.6,5.92,West_Block,111.2,20.23
REC-01479,7/14/2023,Quality_Season,7,608.45,75.4,13.74,2.32,96.2,30.5,16.5,76.3,2.73,East_Block,114.01,18.74
REC-01480,7/14/2023,Quality_Season,7,718.09,76.3,16.68,2.6,111.8,25.2,18.9,82,4.01,Lower_Division,140.39,19.55
REC-01481,7/14/2023,Quality_Season,7,556.57,80.2,15.1,3.24,104.4,30.4,18.4,76.7,3.71,Lower_Division,110.23,19.81
REC-01482,7/13/2023,Quality_Season,7,553.96,81.3,15.75,3.07,101,27,19.5,81.3,5.41,East_Block,108.38,19.56
REC-01483,7/13/2023,Quality_Season,7,518.86,77,13.75,2.84,102,27.9,19.6,79,5.54,East_Block,101.6,19.58
REC-01484,7/12/2023,Quality_Season,7,506.73,77.9,14.18,3.27,98,25.2,20.8,77.1,5.01,Lower_Division,103.31,20.39
REC-01485,7/12/2023,Quality_Season,7,392.89,83,18.11,3.46,98,21.1,16.8,75.8,5.93,West_Block,75.28,19.16
REC-01486,7/12/2023,Quality_Season,7,579.96,79.4,17.38,2.55,105.8,27.6,20.2,73.7,3.97,East_Block,109.9,18.95
REC-01487,7/11/2023,Quality_Season,7,603.69,81.8,15.39,2.92,96.2,29.6,18.6,74.7,5.07,Lower_Division,120.63,19.98
REC-01488,7/10/2023,SW_Monsoon,7,351.4,78.6,15.87,3.26,94.3,20.6,19.2,89.6,10.91,East_Block,79.37,22.59
REC-01489,7/10/2023,SW_Monsoon,7,467.55,76.6,15.7,3.78,89.7,27.3,18.1,82.4,7.29,East_Block,95.84,20.5
REC-01490,7/10/2023,SW_Monsoon,7,469.65,72.7,13.7,4.36,91.2,25.5,20.6,81.8,10.82,Upper_Division,94.29,20.08
REC-01491,7/10/2023,Quality_Season,7,656.32,79,16.44,2.54,89.5,25.6,22.9,82.1,4.16,West_Block,130.45,19.88
REC-01492,7/9/2023,SW_Monsoon,7,354.49,76.7,16.52,3.35,85,25.8,17.8,82.9,10.69,Middle_Division,78.27,22.08
REC-01493,7/9/2023,Quality_Season,7,590.67,78,15.82,3.18,100.7,26.9,19.5,78.1,4.16,Lower_Division,122.64,20.76
REC-01494,7/9/2023,SW_Monsoon,7,486.33,81,15.92,2.59,94.5,25.8,22.3,89.5,9.89,Middle_Division,103.96,21.38
REC-01495,7/8/2023,SW_Monsoon,7,462.25,75.4,12.37,3.07,102.7,28,20.5,79.9,9.55,Lower_Division,96.45,20.87
REC-01496,7/8/2023,SW_Monsoon,7,542.37,81.3,14.7,2.64,104.5,26.4,18,79.7,7.18,Lower_Division,124.29,22.92
REC-01497,7/8/2023,Quality_Season,7,646.53,80,17.63,3,92.4,23,22.1,72.7,5.27,West_Block,128.75,19.91
REC-01498,7/7/2023,Quality_Season,7,528.17,78.2,16.9,3.45,106.1,28,16,75.7,4.46,West_Block,106.14,20.1
REC-01499,7/6/2023,SW_Monsoon,7,712.47,75.6,15.86,4.05,89.2,26.3,20.4,81.6,9.01,Upper_Division,152.2,21.36
REC-01500,7/6/2023,SW_Monsoon,7,628.56,80,13.59,3.13,98.1,22.1,19.8,82,8.39,Middle_Division,135.51,21.56
REC-01501,7/5/2023,SW_Monsoon,7,505.37,75.5,17.04,3.09,90.5,22.8,21.3,78.5,11.51,Lower_Division,107.66,21.3
REC-01502,7/5/2023,Quality_Season,7,592.44,77.8,17.08,2.79,89.4,26.6,17.2,73.2,5.6,Middle_Division,113.44,19.15
REC-01503,7/5/2023,SW_Monsoon,7,641.45,79.2,18.88,3.08,94.5,24.4,23.6,81,8.24,Lower_Division,144.77,22.57
REC-01504,7/4/2023,SW_Monsoon,7,577.08,79.6,15.73,3.58,96.3,22,23.4,80.9,7.89,East_Block,124.24,21.53
REC-01505,7/4/2023,Quality_Season,7,517.63,81.5,16.38,3.89,100,26.9,19,73.5,5.03,Middle_Division,100.82,19.48
REC-01506,7/4/2023,Quality_Season,7,735.27,80.3,17.4,3.23,106.6,21.9,18.3,84,5.62,Lower_Division,145.88,19.84
REC-01507,7/4/2023,Quality_Season,7,717.59,76.1,17.29,2.5,96,25.6,21.7,81.8,5.39,Middle_Division,137.13,19.11
REC-01508,7/4/2023,SW_Monsoon,7,466.52,78.1,14.59,3.27,104.1,26.5,21.9,89.3,8.25,West_Block,102.82,22.04
REC-01509,7/3/2023,Quality_Season,7,551.36,83.5,17.01,2.89,100.8,24.6,20.4,78.6,5.89,Upper_Division,105.68,19.17
REC-01510,7/3/2023,Quality_Season,7,442.07,76.4,13.84,2.5,93.6,26.2,22.4,73,5.42,Lower_Division,92.28,20.88
REC-01511,7/3/2023,SW_Monsoon,7,544.19,72.3,15.24,3.15,96.4,23.6,20,87.3,9.07,West_Block,120.9,22.22
REC-01512,7/2/2023,SW_Monsoon,7,406.34,81,18.51,2.69,93.3,29.4,17.9,89.3,8.37,Upper_Division,84.45,20.78
REC-01513,7/2/2023,Quality_Season,7,502.81,81.3,17.81,2.24,100.8,21.7,21.9,74.8,2.72,Lower_Division,96.47,19.19
REC-01514,6/30/2023,SW_Monsoon,6,626.84,78.1,14.92,3.4,93,25.7,25,90.4,13.4,Lower_Division,143.66,22.92
REC-01515,6/30/2023,SW_Monsoon,6,379.28,79.7,19.68,3.73,108.8,25.2,23.9,83.8,11.25,East_Block,78.93,20.81
REC-01516,6/30/2023,SW_Monsoon,6,727.35,73.3,18.72,2.3,104.5,27.9,18.9,83,8.61,East_Block,158.29,21.76
REC-01517,6/29/2023,SW_Monsoon,6,538.14,77.4,14.97,3.24,96.9,23.4,25,90.4,11.44,Upper_Division,121.35,22.55
REC-01518,6/29/2023,SW_Monsoon,6,532.78,78.5,13.88,4.12,96.2,23.9,20.9,87,8.77,Middle_Division,117.5,22.05
REC-01519,6/29/2023,SW_Monsoon,6,565.45,77,14.15,2.69,99,29,20,87.5,11.07,West_Block,130.07,23
REC-01520,6/27/2023,SW_Monsoon,6,584.78,75.5,16.42,3.55,94.9,27.1,24.6,80.2,11.27,Upper_Division,126.72,21.67
REC-01521,6/27/2023,SW_Monsoon,6,559.57,80.7,16.49,3.11,92.5,29.8,20.8,89.3,14.83,East_Block,123.43,22.06
REC-01522,6/25/2023,SW_Monsoon,6,685.36,79.7,17.74,3.1,90.4,30.3,25,80.4,8.77,Upper_Division,147.54,21.53
REC-01523,6/25/2023,SW_Monsoon,6,492.69,78.4,13.06,3.22,96.3,26.9,22,81.5,9.47,Lower_Division,112.4,22.81
REC-01524,6/24/2023,SW_Monsoon,6,448.78,74.3,15.29,2.49,92.5,25.1,18.1,83.6,14.56,West_Block,97.73,21.78
REC-01525,6/24/2023,SW_Monsoon,6,710.08,80.8,16.4,3.14,96.8,27.4,18.6,80.3,12.29,Upper_Division,160.07,22.54
REC-01526,6/23/2023,SW_Monsoon,6,547.34,72.7,15.98,3.53,102.8,29.8,22.9,89.7,12.4,Lower_Division,123.12,22.49
REC-01527,6/23/2023,SW_Monsoon,6,503.25,80.4,17.1,3.31,100.2,21.6,24.7,85.4,9.2,West_Block,110.25,21.91
REC-01528,6/23/2023,SW_Monsoon,6,579.7,75,15.37,3.32,102.3,26.9,18.1,83.7,10.99,West_Block,133.67,23.06
REC-01529,6/22/2023,SW_Monsoon,6,628.72,74.8,16,2.79,96.1,25.3,19.7,81.1,10.73,Middle_Division,143.03,22.75
REC-01530,6/22/2023,SW_Monsoon,6,624.46,78.8,15.73,2.87,102.8,23.4,23,91.7,11.92,Lower_Division,143.62,23
REC-01531,6/22/2023,SW_Monsoon,6,692.89,81.4,18.64,2.93,98.2,31.6,19.5,82.5,10.17,West_Block,157.92,22.79
REC-01532,6/20/2023,SW_Monsoon,6,612.13,76.8,15.61,2.69,105.3,24.3,24.7,83.7,10.53,Middle_Division,138.04,22.55
REC-01533,6/20/2023,SW_Monsoon,6,443.68,78,13.37,2.02,90.6,29.1,23.7,89.6,9.01,Middle_Division,94.37,21.27
REC-01534,6/20/2023,SW_Monsoon,6,733.94,76.1,18.25,2.6,101.8,26.5,20.4,81.6,10.43,Upper_Division,164.93,22.47
REC-01535,6/19/2023,SW_Monsoon,6,553.31,75.8,17.39,2.9,102.2,22.8,22.6,86,12.73,East_Block,122.26,22.1
REC-01536,6/19/2023,SW_Monsoon,6,648.53,79.4,19.13,2.16,101.7,28.2,25,90.1,12.05,East_Block,142.62,21.99
REC-01537,6/19/2023,SW_Monsoon,6,471.99,80,15.32,2.7,105.6,19.2,20.4,83.5,11.37,West_Block,108.64,23.02
REC-01538,6/19/2023,SW_Monsoon,6,406.2,80.5,17.53,3.62,98.5,31.1,19.5,88.9,12.64,West_Block,89.53,22.04
REC-01539,6/19/2023,SW_Monsoon,6,565.37,78.3,14.77,2,103,20.5,23.2,80.5,13.88,West_Block,124.21,21.97
REC-01540,6/18/2023,SW_Monsoon,6,606.52,75.3,17.1,3.87,99.2,25.2,20,91.7,14.05,Upper_Division,134.63,22.2
REC-01541,6/18/2023,SW_Monsoon,6,514.9,74.9,17.01,3.46,102.5,25.4,23.5,82.4,11.57,Middle_Division,116.73,22.67
REC-01542,6/17/2023,SW_Monsoon,6,433.12,77.2,14.99,2,104.8,18.3,20.3,83.2,11.96,East_Block,92.4,21.33
REC-01543,6/17/2023,SW_Monsoon,6,458.14,77.9,15.93,3.09,107.5,19.3,24.3,81.1,14.13,Lower_Division,105.55,23.04
REC-01544,6/16/2023,SW_Monsoon,6,591.41,81.8,14.6,3.61,102,27.7,23.4,86.9,10.07,East_Block,129.98,21.98
REC-01545,6/16/2023,SW_Monsoon,6,487.67,85,18.45,3.15,98.5,26.2,20.2,83.1,8.47,Middle_Division,103.82,21.29
REC-01546,6/16/2023,SW_Monsoon,6,579.46,78.9,15.3,2.73,98.7,23.5,22.7,89.4,13.17,Middle_Division,131.02,22.61
REC-01547,6/15/2023,SW_Monsoon,6,515.98,77,16.92,3.08,97.1,26.6,22.8,88,10.77,Lower_Division,118.34,22.94
REC-01548,6/15/2023,SW_Monsoon,6,497.29,77.6,19.73,2.81,96.4,24.4,22,81,12.35,Upper_Division,107.9,21.7
REC-01549,6/15/2023,SW_Monsoon,6,508.82,76.3,15.46,3.07,103.5,24.9,23.7,88.7,11.59,East_Block,117.2,23.03
REC-01550,6/14/2023,SW_Monsoon,6,784.98,79.4,16.73,2.01,102.2,20.2,21.1,83.4,9.15,West_Block,175.29,22.33
REC-01551,6/14/2023,SW_Monsoon,6,717.3,82.7,15,2.86,91.8,29.3,19.5,85.7,14.09,Upper_Division,150.38,20.96
REC-01552,6/14/2023,SW_Monsoon,6,556.66,78.5,16.36,2,92.7,22.5,24.5,87.5,9.56,West_Block,127.56,22.92
REC-01553,6/14/2023,SW_Monsoon,6,399.02,84.4,16.5,2.7,98.7,28.2,22.6,90.7,14,East_Block,90.22,22.61
REC-01554,6/13/2023,SW_Monsoon,6,545.4,75.6,17.88,2.71,102.8,29.8,24.4,81.1,14.08,Lower_Division,123.01,22.55
REC-01555,6/13/2023,SW_Monsoon,6,440.08,81.1,15.92,3.21,96.2,30.8,19.3,89.9,14.12,Upper_Division,98.37,22.35
REC-01556,6/13/2023,SW_Monsoon,6,607.63,77.6,17.07,2.75,99.5,24.2,18.1,81.9,14.2,East_Block,137.32,22.6
REC-01557,6/13/2023,SW_Monsoon,6,547.9,76.2,13.59,3.02,98.3,25.7,22.5,82.6,13.39,West_Block,124.4,22.7
REC-01558,6/13/2023,SW_Monsoon,6,496.09,79.2,14.55,3.24,95,25.5,19.5,84.3,11.51,East_Block,106.96,21.56
REC-01559,6/13/2023,SW_Monsoon,6,732.72,81.1,15.72,3.07,96.4,26.6,18.1,82.2,10.61,Middle_Division,163.48,22.31
REC-01560,6/12/2023,SW_Monsoon,6,564.44,78.1,16.32,2.59,90.7,27.9,20.4,90.3,8.69,Middle_Division,128.91,22.84
REC-01561,6/12/2023,SW_Monsoon,6,637.88,77.7,17.2,2.85,101.1,28.3,23.5,84.7,13.97,East_Block,139.55,21.88
REC-01562,6/12/2023,SW_Monsoon,6,542.99,79.6,13.24,3.56,85,19,19.2,89.2,11,West_Block,116.19,21.4
REC-01563,6/11/2023,SW_Monsoon,6,544.52,84.6,16.03,3.25,97.9,19.4,20.3,87.9,9.87,Middle_Division,116.53,21.4
REC-01564,6/11/2023,SW_Monsoon,6,335.39,79.1,16.67,2.54,97.3,29.7,19.4,84.4,8.44,East_Block,75.23,22.43
REC-01565,6/11/2023,SW_Monsoon,6,528.77,79.2,15.14,2.94,100.5,18.5,22.2,91.7,14.98,East_Block,120.48,22.79
REC-01566,6/11/2023,SW_Monsoon,6,281.97,78,15.87,2.86,97.9,26.1,21.7,82.2,8.48,West_Block,64.78,22.98
REC-01567,6/10/2023,SW_Monsoon,6,600.99,83,18.51,3.5,109.7,23,22.7,81.5,10.1,Middle_Division,128.26,21.34
REC-01568,6/10/2023,SW_Monsoon,6,574.48,70.7,16.65,3.87,90.4,21.4,24.2,81.9,9.02,West_Block,119.73,20.84
REC-01569,6/10/2023,SW_Monsoon,6,466.19,78.5,14.29,3.04,96.1,22.3,22.2,92,14.63,West_Block,107.44,23.05
REC-01570,6/10/2023,SW_Monsoon,6,530.36,80.4,15.48,3.13,88,28.6,19.7,83.9,10.39,West_Block,113.88,21.47
REC-01571,6/9/2023,SW_Monsoon,6,519.65,77,12.34,3.61,96.5,19.5,23.4,90.3,11.14,Middle_Division,111.88,21.53
REC-01572,6/8/2023,SW_Monsoon,6,477.29,75.4,16.06,3.04,96.3,28.2,24.3,81.7,13.16,Middle_Division,106.91,22.4
REC-01573,6/7/2023,SW_Monsoon,6,689.35,78,18.41,3.4,98.1,25.8,21.6,81.4,11.47,Upper_Division,158.04,22.93
REC-01574,6/7/2023,SW_Monsoon,6,439.23,80,15.89,2.58,97.7,28.1,24.7,81.8,11.88,Lower_Division,101.06,23.01
REC-01575,6/7/2023,SW_Monsoon,6,429.77,79.3,16.54,3.97,94,27.3,19.3,91.4,8.73,East_Block,96.78,22.52
REC-01576,6/7/2023,SW_Monsoon,6,516.76,76.9,16.23,3.05,93.7,26.4,21.1,88.3,12.69,Lower_Division,117.45,22.73
REC-01577,6/6/2023,SW_Monsoon,6,596.5,77.1,18,3.37,95.1,25.4,21.1,88.8,14.52,West_Block,134.07,22.48
REC-01578,6/6/2023,SW_Monsoon,6,528.81,77.8,18.07,3.1,96.1,24.6,24.3,85.8,10.21,Upper_Division,121.69,23.01
REC-01579,6/5/2023,SW_Monsoon,6,543.67,79.9,13.79,3.11,96.2,26.7,20.4,88.3,8.33,Upper_Division,125,22.99
REC-01580,6/5/2023,SW_Monsoon,6,635.71,80.5,18.87,3.16,103.2,25.5,19.2,91,12.88,East_Block,141.23,22.22
REC-01581,6/5/2023,SW_Monsoon,6,690.62,80.4,16.75,2.98,100.5,21.7,22.3,91.6,14.92,East_Block,158.93,23.01
REC-01582,6/4/2023,SW_Monsoon,6,473.77,82.5,14.88,2.83,91.5,30.2,20,91,14.43,Lower_Division,109.34,23.08
REC-01583,6/3/2023,SW_Monsoon,6,393.04,76.7,13.31,2.39,94.5,30.7,23.2,89.3,10.83,Lower_Division,88.14,22.43
REC-01584,6/3/2023,SW_Monsoon,6,495.92,78.9,19.39,3.36,99.3,29.1,24.9,88.5,12.16,Middle_Division,108.77,21.93
REC-01585,6/3/2023,SW_Monsoon,6,715.16,75.4,16.45,3.27,97.6,27.8,20.9,85.8,13.68,Lower_Division,164.4,22.99
REC-01586,6/3/2023,SW_Monsoon,6,869.75,78.7,18.81,3.06,95,25.4,21.7,81.9,10.89,Lower_Division,200.31,23.03
REC-01587,6/3/2023,SW_Monsoon,6,747.22,73.3,15.23,2.91,97,24.4,24.4,87,9.73,West_Block,171.79,22.99
REC-01588,6/2/2023,SW_Monsoon,6,774.07,74.8,13.65,2,94.3,27.1,23,83.3,13.59,Upper_Division,164.22,21.22
REC-01589,6/2/2023,SW_Monsoon,6,511.58,77.5,16.57,2.57,89.3,28.5,20.4,90.7,12.45,Lower_Division,111.59,21.81
REC-01590,6/2/2023,SW_Monsoon,6,628.46,71.5,13.97,3.43,97.4,34.2,20.9,89.5,11.17,Middle_Division,137.72,21.91
REC-01591,6/1/2023,SW_Monsoon,6,756.64,76,18.13,2.52,103.7,26.2,18.6,84.5,8.75,Lower_Division,170.34,22.51
REC-01592,5/31/2023,SW_Monsoon,5,625.45,80,15.72,3.68,96.7,24.1,24.7,89.7,13.91,West_Block,144.07,23.04
REC-01593,5/31/2023,SW_Monsoon,5,539.37,77,15.79,3,100.8,28.4,18.6,85,10.84,East_Block,118.16,21.91
REC-01594,5/31/2023,SW_Monsoon,5,484.14,78.2,15.27,3.33,99.1,19.3,19.1,90,14.81,West_Block,107.54,22.21
REC-01595,5/31/2023,SW_Monsoon,5,714.39,75.8,16.76,4.07,94.3,29.5,22,85.8,12.99,Middle_Division,154.74,21.66
REC-01596,5/30/2023,SW_Monsoon,5,378.32,79.1,16.16,2.44,96.5,19.3,21.4,82.7,8.69,East_Block,83.4,22.04
REC-01597,5/29/2023,SW_Monsoon,5,503.93,80.3,15.8,2.92,98.9,24.9,20.4,88.9,14.18,Upper_Division,109.84,21.8
REC-01598,5/29/2023,SW_Monsoon,5,643.77,76,15.81,2.46,102.1,23.3,19.8,82.8,12.72,Middle_Division,143.89,22.35
REC-01599,5/29/2023,SW_Monsoon,5,375.37,75.8,17.31,2.74,98.9,20.5,22,86.3,11.54,Middle_Division,84,22.38
REC-01600,5/28/2023,SW_Monsoon,5,651.94,76,14.7,3.08,95.4,28.7,24,84.4,11.84,Lower_Division,144.37,22.14
REC-01601,5/28/2023,SW_Monsoon,5,595.86,80.5,14.51,2.73,100.5,23.3,24.5,88.5,13.57,Middle_Division,137.14,23.02
REC-01602,5/28/2023,SW_Monsoon,5,734.66,76.8,17.37,2.74,104.5,25.8,23.9,87,9.41,Upper_Division,162.8,22.16
REC-01603,5/27/2023,SW_Monsoon,5,680.38,80.1,16.78,2.49,97.1,25.2,22.3,91.2,14.54,Upper_Division,147.2,21.63
REC-01604,5/27/2023,SW_Monsoon,5,711.85,77.8,12.9,3.47,97,28.9,23.9,89.9,13.15,Upper_Division,151.71,21.31
REC-01605,5/26/2023,SW_Monsoon,5,419.86,76.8,15.99,3.42,103,26.4,20,89.5,11.59,Middle_Division,95.76,22.81
REC-01606,5/26/2023,SW_Monsoon,5,668.02,78.9,15.34,2.56,107.6,22.3,21.6,91.8,9.9,West_Block,153.4,22.96
REC-01607,5/26/2023,SW_Monsoon,5,532.73,81.4,13.84,3.52,107.4,31,21.5,80.2,14.33,Middle_Division,115.95,21.76
REC-01608,5/25/2023,SW_Monsoon,5,384.21,74.7,13.58,4.03,95.4,24.4,20,89.2,9.04,Lower_Division,84.95,22.11
REC-01609,5/25/2023,SW_Monsoon,5,422.31,78.6,15.73,3.7,100.1,25.4,22.7,85.6,12.37,Upper_Division,92.4,21.88
REC-01610,5/24/2023,SW_Monsoon,5,547.45,80.8,17.25,3.26,96.2,24.7,21.1,82.1,14.79,Lower_Division,125.59,22.94
REC-01611,5/24/2023,SW_Monsoon,5,250,77.4,18.17,2.99,91.7,27.8,18.1,91.7,12.5,Upper_Division,53.86,21.55
REC-01612,5/24/2023,SW_Monsoon,5,425.03,75.5,14.78,3.36,108.1,25.2,23.5,81,14.26,Lower_Division,98.34,23.14
REC-01613,5/24/2023,SW_Monsoon,5,497.47,76.4,16.02,3.09,100.6,25.4,22.3,86,10.38,East_Block,115.29,23.17
REC-01614,5/24/2023,SW_Monsoon,5,634.46,75.5,15.45,2.5,109.1,27.2,24.3,82.8,9.5,East_Block,137.58,21.69
REC-01615,5/23/2023,SW_Monsoon,5,674.77,77.7,15.49,3.23,105.1,25.7,22.6,91.6,12.2,Upper_Division,152.33,22.58
REC-01616,5/23/2023,SW_Monsoon,5,697.66,81,13.99,3.77,99.8,25.8,23.7,83.7,9.86,Lower_Division,152.17,21.81
REC-01617,5/23/2023,SW_Monsoon,5,436.54,78.8,18.42,3.59,104.7,25.4,23.6,90.9,12.83,Middle_Division,99.31,22.75
REC-01618,5/22/2023,SW_Monsoon,5,752.6,77.4,15.09,2.94,99.6,22.2,19.7,90.6,10.74,West_Block,173.43,23.04
REC-01619,5/21/2023,SW_Monsoon,5,477.31,81.8,16.81,2.76,88.8,24.8,24.2,84.2,13.57,Middle_Division,106.62,22.34
REC-01620,5/21/2023,SW_Monsoon,5,434.13,78.3,15.84,2.67,90.3,24.5,22.6,88.6,12.69,Middle_Division,98.88,22.78
REC-01621,5/20/2023,SW_Monsoon,5,567.98,74.9,16.9,3.73,101.4,28.7,24.4,80.1,14.13,West_Block,125.69,22.13
REC-01622,5/20/2023,SW_Monsoon,5,583.96,74.5,16.46,4,94.6,20.2,21,88.9,11.68,West_Block,125.89,21.56
REC-01623,5/19/2023,SW_Monsoon,5,708.13,83.3,15.73,3.5,98.6,26.3,23.3,80.5,8.51,Lower_Division,160.15,22.62
